"Story","Title","Result","Date","Stability","Duration (s)"
"Get Statistic","As an admin I can get statistic with a valid path","SUCCESS","2023-12-18T11:06:31.062835+07:00[Asia/Jakarta]","0.0","6.9"
"Get Total Payment","As an admin I can get total payment with a valid path","SUCCESS","2023-12-18T11:06:39.279238+07:00[Asia/Jakarta]","0.0","1.75"
"Get Transaction Report","As an admin I can get transaction report with a valid path","SUCCESS","2023-12-18T11:06:42.335282+07:00[Asia/Jakarta]","0.0","1.99"
"Recent Customer","As an admin I can recent customer with a valid path","SUCCESS","2023-12-18T11:06:45.54494+07:00[Asia/Jakarta]","0.0","2.19"
"Delete User By ID","As an admin I can delete user by ID with a valid path","SUCCESS","2023-12-18T11:06:49.009549+07:00[Asia/Jakarta]","0.0","1.95"
"Get List Transaction User","As an admin I can get list transaction user with a valid path","SUCCESS","2023-12-18T11:06:53.503108+07:00[Asia/Jakarta]","0.0","2.02"
"Get Transaction Detail User","As an admin I can get transaction detail user with a valid path","SUCCESS","2023-12-18T11:06:56.666008+07:00[Asia/Jakarta]","0.0","2.21"
"Get User By ID","As an admin I can get user by ID with a valid path","SUCCESS","2023-12-18T11:07:00.061071+07:00[Asia/Jakarta]","0.0","1.29"
"Get User List","As an admin I can get user list with a valid path","SUCCESS","2023-12-18T11:07:03.84159+07:00[Asia/Jakarta]","0.0","1.33"
"Create Warehouse Detail","As an admin I can create warehouse detail with a valid input","SUCCESS","2023-12-18T11:07:06.393554+07:00[Asia/Jakarta]","0.0","1.87"
"Delete Warehouse By ID","As an admin I can delete warehouse by ID with a valid path","SUCCESS","2023-12-18T11:07:10.790131+07:00[Asia/Jakarta]","0.0","1.91"
"Get Installment List Dashboard","As an admin I can get installment list dashboard  with a valid path","SUCCESS","2023-12-18T11:07:15.365534+07:00[Asia/Jakarta]","0.0","1.49"
"Get List Transaction Warehouse","As an admin I can get list transaction warehouse with a valid path","SUCCESS","2023-12-18T11:07:18.08458+07:00[Asia/Jakarta]","0.0","1.45"
