"Story","Title","Result","Date","Stability","Duration (s)"
"Get History Transaction Data","As an admin I can get history transaction data with a valid path","SUCCESS","2023-12-18T11:13:27.014206+07:00[Asia/Jakarta]","0.0","2.3"
"Get History Transaction Data","As an admin I can't get history transaction data without path","SUCCESS","2023-12-18T11:13:29.323295+07:00[Asia/Jakarta]","0.0","1.21"
"Get Transaction Detail","As an admin I can get transaction detail with a valid path","SUCCESS","2023-12-18T11:13:30.551656+07:00[Asia/Jakarta]","0.0","2.42"
"Get Transaction Detail","As an admin I can't get transaction detail without path","SUCCESS","2023-12-18T11:13:32.985843+07:00[Asia/Jakarta]","0.0","1.19"
"Transaction Approved","As an admin I can transaction approved with a valid path","SUCCESS","2023-12-18T11:13:34.19049+07:00[Asia/Jakarta]","0.0","4.08"
"Transaction Approved","As an admin I can't transaction approved without path","SUCCESS","2023-12-18T11:13:38.278259+07:00[Asia/Jakarta]","0.0","1.11"
"Transaction Approved","As an admin I can't transaction approved with invalid transaction ID","SUCCESS","2023-12-18T11:13:39.394577+07:00[Asia/Jakarta]","0.0","1.28"
"Transaction Approved","As an admin I can't transaction approved if the transaction ID has previously been made","SUCCESS","2023-12-18T11:13:40.703304+07:00[Asia/Jakarta]","0.0","1.58"
"Transaction Rejected","As an admin I can transaction rejected with a valid path","SUCCESS","2023-12-18T11:13:42.294405+07:00[Asia/Jakarta]","0.0","2.54"
"Transaction Rejected","As an admin I can't transaction rejected without path","SUCCESS","2023-12-18T11:13:44.845217+07:00[Asia/Jakarta]","0.0","1.1"
"Transaction Rejected","As an admin I can't transaction rejected with invalid transaction ID","SUCCESS","2023-12-18T11:13:45.959905+07:00[Asia/Jakarta]","0.0","1.33"
"Transaction Rejected","As an admin I can't transaction rejected if the transaction ID has previously been made","SUCCESS","2023-12-18T11:13:47.306427+07:00[Asia/Jakarta]","0.0","1.6"
