"Story","Title","Result","Date","Stability","Duration (s)"
"Login User","As a user I can't login without path","SUCCESS","2023-12-18T11:13:57.685261+07:00[Asia/Jakarta]","0.0","0.23"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-12-18T11:13:57.923035+07:00[Asia/Jakarta]","0.0","0.23"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-12-18T11:13:58.163031+07:00[Asia/Jakarta]","0.0","0.19"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-12-18T11:13:58.366391+07:00[Asia/Jakarta]","0.0","0.22"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-12-18T11:13:58.599132+07:00[Asia/Jakarta]","0.0","0.34"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-12-18T11:13:58.952818+07:00[Asia/Jakarta]","0.0","0.73"
"Register User","As a new user I can't register without path","SUCCESS","2023-12-18T11:14:04.444406+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I don't fill in the register request","SUCCESS","2023-12-18T11:14:04.679267+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if I don't fill in the username request","SUCCESS","2023-12-18T11:14:04.896591+07:00[Asia/Jakarta]","0.0","0.24"
"Register User","As a new user I can't register if I don't fill in the email request","SUCCESS","2023-12-18T11:14:05.14308+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if I don't fill in the password request","SUCCESS","2023-12-18T11:14:05.357765+07:00[Asia/Jakarta]","0.0","0.23"
"Register User","As a new user I can't register if I fill in email already regist in database","SUCCESS","2023-12-18T11:14:05.606075+07:00[Asia/Jakarta]","0.0","0.33"
"Register User","As a new user I can't register if the email request format is not appropriate (e.g.","SUCCESS","2023-12-18T11:14:05.949545+07:00[Asia/Jakarta]","0.0","0.18"
"Resend OTP","As a user I can't resend OTP without path","SUCCESS","2023-12-18T11:14:09.245211+07:00[Asia/Jakarta]","0.0","0.26"
"Resend OTP","As a user I can't resend OTP if I don't fill in the resend OTP request","SUCCESS","2023-12-18T11:14:09.516753+07:00[Asia/Jakarta]","0.0","0.23"
"Resend OTP","As a user I can't resend OTP with an invalid email","SUCCESS","2023-12-18T11:14:09.755731+07:00[Asia/Jakarta]","0.0","0.32"
"Get All District","As a user I can't get all district data with an invalid path","SUCCESS","2023-12-18T11:17:26.675207+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Province","As a user I can't get all province data with an invalid path","SUCCESS","2023-12-18T11:17:27.210458+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Regency","As a user I can't get all regency data with an invalid path","SUCCESS","2023-12-18T11:17:28.006284+07:00[Asia/Jakarta]","0.0","0.22"
"Register Data User","As a user I can't register data user without path","SUCCESS","2023-12-18T11:17:29.098036+07:00[Asia/Jakarta]","0.0","0.24"
"Register Data User","As a user I can't register data user if I don't fill in the register data user request","SUCCESS","2023-12-18T11:17:29.347526+07:00[Asia/Jakarta]","0.0","0.28"
"Register Data User","As a user I can't register data user with an invalid email","SUCCESS","2023-12-18T11:17:29.635532+07:00[Asia/Jakarta]","0.0","0.33"
