"Story","Title","Result","Date","Stability","Duration (s)"
"Get Avatar","As a user I can get avatar data with a valid path","SUCCESS","2023-12-20T03:59:09.200649+07:00[Asia/Jakarta]","0.0","1.19"
"Get Avatar","As a user I can't get avatar data with an invalid path","SUCCESS","2023-12-20T03:59:10.401052+07:00[Asia/Jakarta]","0.0","1.16"
"Get Profile","As a user I can get profile with a valid path","SUCCESS","2023-12-20T03:59:11.572076+07:00[Asia/Jakarta]","0.0","1.82"
"Get Profile","As a user I can't get profile without path","SUCCESS","2023-12-20T03:59:13.397136+07:00[Asia/Jakarta]","0.0","1.21"
"Update Email","As a user I can't update email without path","SUCCESS","2023-12-20T03:59:14.624061+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I don't fill in the update email request","SUCCESS","2023-12-20T03:59:15.778758+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I fill in email already regist in database","SUCCESS","2023-12-20T03:59:16.937222+07:00[Asia/Jakarta]","0.0","1.22"
"Update Email","As a user I can't update email if the email request format is not appropriate (e.g.","SUCCESS","2023-12-20T03:59:18.17878+07:00[Asia/Jakarta]","0.0","1.01"
"Update Photo Profile","As a user I can update photo profile with a valid path","SUCCESS","2023-12-20T03:59:19.21543+07:00[Asia/Jakarta]","0.0","1.5"
"Update Photo Profile","As a user I can't update photo profile without path","SUCCESS","2023-12-20T03:59:20.726302+07:00[Asia/Jakarta]","0.0","1.07"
"Update Photo Profile","As a user I can't update photo profile if I don't fill in the update photo profile request","SUCCESS","2023-12-20T03:59:21.819965+07:00[Asia/Jakarta]","0.0","1.13"
"Update Username","As a user I can update username with a valid path","SUCCESS","2023-12-20T03:59:22.974793+07:00[Asia/Jakarta]","0.0","1.5"
"Update Username","As a user I can't update username without path","SUCCESS","2023-12-20T03:59:24.495433+07:00[Asia/Jakarta]","0.0","1.28"
"Update Username","As a user I can't update username if I don't fill in the update username request","SUCCESS","2023-12-20T03:59:25.791279+07:00[Asia/Jakarta]","0.0","1.06"
"Upload Photo","As a user I can upload photo with a valid path","SUCCESS","2023-12-20T03:59:26.878247+07:00[Asia/Jakarta]","0.0","3.89"
"Upload Photo","As a user I can't upload photo without path","SUCCESS","2023-12-20T03:59:30.782649+07:00[Asia/Jakarta]","0.0","0.97"
"Upload Photo","As a user I can't upload photo if I don't fill in the upload photo request","SUCCESS","2023-12-20T03:59:31.773973+07:00[Asia/Jakarta]","0.0","1.09"
"Upload Photo","As a user I can't upload photo if the photo request format is not appropriate (e.g. other than","SUCCESS","2023-12-20T03:59:32.881713+07:00[Asia/Jakarta]","0.0","1.27"
"Upload Photo","As a user I can't upload photo if size more than 5 MB","SUCCESS","2023-12-20T03:59:34.160653+07:00[Asia/Jakarta]","0.0","33.07"
