"Story","Title","Result","Date","Stability","Duration (s)"
"Login User","As a user I can't login without path","SUCCESS","2023-12-20T03:58:10.607461+07:00[Asia/Jakarta]","0.0","0.24"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-12-20T03:58:10.855364+07:00[Asia/Jakarta]","0.0","0.18"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-12-20T03:58:11.040736+07:00[Asia/Jakarta]","0.0","0.2"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-12-20T03:58:11.247551+07:00[Asia/Jakarta]","0.0","0.2"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-12-20T03:58:11.459237+07:00[Asia/Jakarta]","0.0","0.31"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-12-20T03:58:11.78532+07:00[Asia/Jakarta]","0.0","0.81"
"Register User","As a new user I can't register without path","SUCCESS","2023-12-20T03:58:17.202888+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I don't fill in the register request","SUCCESS","2023-12-20T03:58:17.434401+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I don't fill in the username request","SUCCESS","2023-12-20T03:58:17.687914+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I don't fill in the email request","SUCCESS","2023-12-20T03:58:17.918461+07:00[Asia/Jakarta]","0.0","0.4"
"Register User","As a new user I can't register if I don't fill in the password request","SUCCESS","2023-12-20T03:58:18.341692+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I fill in email already regist in database","SUCCESS","2023-12-20T03:58:18.586061+07:00[Asia/Jakarta]","0.0","0.31"
"Register User","As a new user I can't register if the email request format is not appropriate (e.g.","SUCCESS","2023-12-20T03:58:18.922029+07:00[Asia/Jakarta]","0.0","0.2"
"Resend OTP","As a user I can't resend OTP without path","SUCCESS","2023-12-20T03:58:22.237481+07:00[Asia/Jakarta]","0.0","0.22"
"Resend OTP","As a user I can't resend OTP if I don't fill in the resend OTP request","SUCCESS","2023-12-20T03:58:22.479269+07:00[Asia/Jakarta]","0.0","0.23"
"Resend OTP","As a user I can't resend OTP with an invalid email","SUCCESS","2023-12-20T03:58:22.735605+07:00[Asia/Jakarta]","0.0","0.33"
"Get Warehouse By ID","As a user I can't get warehouse by ID without path","SUCCESS","2023-12-20T03:58:36.675355+07:00[Asia/Jakarta]","0.0","1.0"
"Upload Photo","As a user I can't upload photo without path","SUCCESS","2023-12-20T03:59:30.782649+07:00[Asia/Jakarta]","0.0","0.97"
"Get All District","As a user I can get all district data with a valid path","SUCCESS","2023-12-20T04:00:07.241935+07:00[Asia/Jakarta]","0.0","0.47"
"Get All District","As a user I can't get all district data with an invalid path","SUCCESS","2023-12-20T04:00:07.720751+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Province","As a user I can get all province data with a valid path","SUCCESS","2023-12-20T04:00:07.96031+07:00[Asia/Jakarta]","0.0","0.32"
"Get All Province","As a user I can't get all province data with an invalid path","SUCCESS","2023-12-20T04:00:08.285112+07:00[Asia/Jakarta]","0.0","0.17"
"Get All Regency","As a user I can get all regency data with a valid path","SUCCESS","2023-12-20T04:00:08.470805+07:00[Asia/Jakarta]","0.0","0.43"
"Get All Regency","As a user I can't get all regency data with an invalid path","SUCCESS","2023-12-20T04:00:08.912362+07:00[Asia/Jakarta]","0.0","0.22"
"Register Data User","As a user I can register data user with a valid input","SUCCESS","2023-12-20T04:00:09.142199+07:00[Asia/Jakarta]","0.0","0.82"
"Register Data User","As a user I can't register data user without path","SUCCESS","2023-12-20T04:00:09.975943+07:00[Asia/Jakarta]","0.0","0.2"
"Register Data User","As a user I can't register data user if I don't fill in the register data user request","SUCCESS","2023-12-20T04:00:10.188926+07:00[Asia/Jakarta]","0.0","0.2"
"Register Data User","As a user I can't register data user with an invalid email","SUCCESS","2023-12-20T04:00:10.396875+07:00[Asia/Jakarta]","0.0","0.31"
