"Story","Title","Result","Date","Stability","Duration (s)"
"Get Payment Schema","As a user I can get payment schema with a valid path","SUCCESS","2023-12-18T11:13:48.922655+07:00[Asia/Jakarta]","0.0","1.29"
"Get Payment Schema","As a user I can't get payment schema without path","SUCCESS","2023-12-18T11:13:50.223032+07:00[Asia/Jakarta]","0.0","1.16"
"Rental Application","As a user I can rental application with a valid path","SUCCESS","2023-12-18T11:13:51.400116+07:00[Asia/Jakarta]","0.0","1.83"
"Rental Application","As a user I can't rental application without path","SUCCESS","2023-12-18T11:13:53.238382+07:00[Asia/Jakarta]","0.0","1.1"
"Rental Application","As a user I can't rental application if I don't fill in the rental application request","SUCCESS","2023-12-18T11:13:54.349423+07:00[Asia/Jakarta]","0.0","1.15"
"Rental Application","As a user I can't rental application if the submission date is less than the current date","SUCCESS","2023-12-18T11:13:55.512789+07:00[Asia/Jakarta]","0.0","1.21"
"Login User","As a user I can login with a valid credentials","SUCCESS","2023-12-18T11:13:56.75273+07:00[Asia/Jakarta]","0.0","0.91"
"Login User","As a user I can't login without path","SUCCESS","2023-12-18T11:13:57.685261+07:00[Asia/Jakarta]","0.0","0.23"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-12-18T11:13:57.923035+07:00[Asia/Jakarta]","0.0","0.23"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-12-18T11:13:58.163031+07:00[Asia/Jakarta]","0.0","0.19"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-12-18T11:13:58.366391+07:00[Asia/Jakarta]","0.0","0.22"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-12-18T11:13:58.599132+07:00[Asia/Jakarta]","0.0","0.34"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-12-18T11:13:58.952818+07:00[Asia/Jakarta]","0.0","0.73"
"Register User","As a new user I can register by filling a valid data","SUCCESS","2023-12-18T11:13:59.701385+07:00[Asia/Jakarta]","0.0","4.73"
"Register User","As a new user I can't register without path","SUCCESS","2023-12-18T11:14:04.444406+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I don't fill in the register request","SUCCESS","2023-12-18T11:14:04.679267+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if I don't fill in the username request","SUCCESS","2023-12-18T11:14:04.896591+07:00[Asia/Jakarta]","0.0","0.24"
"Register User","As a new user I can't register if I don't fill in the email request","SUCCESS","2023-12-18T11:14:05.14308+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if I don't fill in the password request","SUCCESS","2023-12-18T11:14:05.357765+07:00[Asia/Jakarta]","0.0","0.23"
"Register User","As a new user I can't register if I fill in email already regist in database","SUCCESS","2023-12-18T11:14:05.606075+07:00[Asia/Jakarta]","0.0","0.33"
"Register User","As a new user I can't register if the email request format is not appropriate (e.g.","SUCCESS","2023-12-18T11:14:05.949545+07:00[Asia/Jakarta]","0.0","0.18"
"Resend OTP","As a user I can resend OTP with a valid email","SUCCESS","2023-12-18T11:14:06.142055+07:00[Asia/Jakarta]","0.0","3.09"
"Resend OTP","As a user I can't resend OTP without path","SUCCESS","2023-12-18T11:14:09.245211+07:00[Asia/Jakarta]","0.0","0.26"
"Resend OTP","As a user I can't resend OTP if I don't fill in the resend OTP request","SUCCESS","2023-12-18T11:14:09.516753+07:00[Asia/Jakarta]","0.0","0.23"
"Resend OTP","As a user I can't resend OTP with an invalid email","SUCCESS","2023-12-18T11:14:09.755731+07:00[Asia/Jakarta]","0.0","0.32"
"Chatbot","As a user I can chatbot with a valid path","SUCCESS","2023-12-18T11:14:10.096997+07:00[Asia/Jakarta]","0.0","4.95"
"Chatbot","As a user I can't chatbot without path","SUCCESS","2023-12-18T11:14:15.058488+07:00[Asia/Jakarta]","0.0","1.07"
"Chatbot","As a user I can't use chatbot if I don't fill in the chatbot request","SUCCESS","2023-12-18T11:14:16.145644+07:00[Asia/Jakarta]","0.0","1.17"
"Get All Warehouse","As a user I can get all warehouse with a valid path","SUCCESS","2023-12-18T11:14:17.333821+07:00[Asia/Jakarta]","0.0","2.06"
"Get All Warehouse","As a user I can't get all warehouse without path","SUCCESS","2023-12-18T11:14:19.399881+07:00[Asia/Jakarta]","0.0","1.13"
"Get User Info","As a user I can get user profile data with a valid path","SUCCESS","2023-12-18T11:14:20.551497+07:00[Asia/Jakarta]","0.0","1.66"
"Get User Info","As a user I can't get user profile data with an invalid path","SUCCESS","2023-12-18T11:14:22.225223+07:00[Asia/Jakarta]","0.0","1.21"
"Get Warehouse By ID","As a user I can't get warehouse by ID without path","SUCCESS","2023-12-18T11:14:25.730437+07:00[Asia/Jakarta]","0.0","1.1"
"Get Warehouse By ID","As a user I can't get warehouse data with an invalid ID (by entering the ID numbers, letters & symbols at the same time)","SUCCESS","2023-12-18T11:14:26.837363+07:00[Asia/Jakarta]","0.0","1.12"
"Get Warehouse By ID","As a user I can't get warehouse data with an invalid ID (by entering an ID number that does not yet exist in the database)","SUCCESS","2023-12-18T11:14:27.982179+07:00[Asia/Jakarta]","0.0","1.38"
"Create New Favorite","As a user I can create new favorite with a valid path","SUCCESS","2023-12-18T11:14:29.408546+07:00[Asia/Jakarta]","0.0","1.71"
"Create New Favorite","As a user I can't create new favorite without path","SUCCESS","2023-12-18T11:14:31.158981+07:00[Asia/Jakarta]","0.0","1.31"
"Create New Favorite","As a user I can't create new favorite if I don't fill in the create new favorite request","SUCCESS","2023-12-18T11:14:32.47751+07:00[Asia/Jakarta]","0.0","1.18"
"Delete Favorite By ID","As a user I can delete favorite by ID with a valid path","SUCCESS","2023-12-18T11:14:33.68662+07:00[Asia/Jakarta]","0.0","1.64"
"Delete Favorite By ID","As a user I can't delete favorite by ID without path","SUCCESS","2023-12-18T11:14:35.336188+07:00[Asia/Jakarta]","0.0","1.26"
"Delete Favorite By ID","As a user I can't delete favorite by ID with invalid ID","SUCCESS","2023-12-18T11:14:36.624371+07:00[Asia/Jakarta]","0.0","1.33"
"Get List Favorite","As a user I can get list favorite with a valid path","SUCCESS","2023-12-18T11:14:37.972204+07:00[Asia/Jakarta]","0.0","2.28"
"Get List Favorite","As a user I can't get list favorite without path","SUCCESS","2023-12-18T11:14:40.292402+07:00[Asia/Jakarta]","0.0","1.13"
"Get Bank Virtual Account","As a user I can get bank virtual account with a valid path","SUCCESS","2023-12-18T11:14:41.447289+07:00[Asia/Jakarta]","0.0","1.49"
"Get Bank Virtual Account","As a user I can't get bank virtual account without path","SUCCESS","2023-12-18T11:14:42.948525+07:00[Asia/Jakarta]","0.0","1.17"
"Get Payment Method","As a user I can get payment method with a valid path","SUCCESS","2023-12-18T11:14:44.145635+07:00[Asia/Jakarta]","0.0","1.36"
"Get Payment Method","As a user I can't get payment method without path","SUCCESS","2023-12-18T11:14:45.525981+07:00[Asia/Jakarta]","0.0","1.26"
"Payment Checkout","As a user I can payment checkout with a valid path","SUCCESS","2023-12-18T11:14:46.798598+07:00[Asia/Jakarta]","0.0","5.48"
"Payment Checkout","As a user I can't payment checkout without path","SUCCESS","2023-12-18T11:14:52.294073+07:00[Asia/Jakarta]","0.0","1.29"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment checkout request","SUCCESS","2023-12-18T11:14:53.593722+07:00[Asia/Jakarta]","0.0","1.24"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment method ID request","SUCCESS","2023-12-18T11:14:54.850053+07:00[Asia/Jakarta]","0.0","1.21"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the installment ID request","SUCCESS","2023-12-18T11:14:56.07316+07:00[Asia/Jakarta]","0.0","1.25"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the data payment bank code request","SUCCESS","2023-12-18T11:14:57.358032+07:00[Asia/Jakarta]","0.0","1.18"
