"Story","Title","Result","Date","Stability","Duration (s)"
"Get Statistic","As an admin I can get statistic with a valid path","SUCCESS","2023-12-20T03:52:18.970474+07:00[Asia/Jakarta]","0.0","27.95"
"Get Total Payment","As an admin I can get total payment with a valid path","SUCCESS","2023-12-20T03:52:48.079115+07:00[Asia/Jakarta]","0.0","1.59"
"Get Transaction Report","As an admin I can get transaction report with a valid path","SUCCESS","2023-12-20T03:52:51.02928+07:00[Asia/Jakarta]","0.0","1.85"
"Recent Customer","As an admin I can recent customer with a valid path","SUCCESS","2023-12-20T03:52:54.187639+07:00[Asia/Jakarta]","0.0","1.96"
"Delete User By ID","As an admin I can delete user by ID with a valid path","SUCCESS","2023-12-20T03:52:57.309672+07:00[Asia/Jakarta]","0.0","2.02"
"Get List Transaction User","As an admin I can get list transaction user with a valid path","SUCCESS","2023-12-20T03:53:01.692195+07:00[Asia/Jakarta]","0.0","2.07"
"Get Transaction Detail User","As an admin I can get transaction detail user with a valid path","SUCCESS","2023-12-20T03:53:04.844463+07:00[Asia/Jakarta]","0.0","2.01"
"Get User By ID","As an admin I can get user by ID with a valid path","SUCCESS","2023-12-20T03:53:07.969526+07:00[Asia/Jakarta]","0.0","1.42"
"Get User List","As an admin I can get user list with a valid path","SUCCESS","2023-12-20T03:53:11.88239+07:00[Asia/Jakarta]","0.0","1.39"
"Create Warehouse Detail","As an admin I can create warehouse detail with a valid input","SUCCESS","2023-12-20T03:53:14.412872+07:00[Asia/Jakarta]","0.0","1.81"
"Delete Warehouse By ID","As an admin I can delete warehouse by ID with a valid path","SUCCESS","2023-12-20T03:53:18.573097+07:00[Asia/Jakarta]","0.0","1.76"
"Get Installment List Dashboard","As an admin I can get installment list dashboard  with a valid path","SUCCESS","2023-12-20T03:53:22.861103+07:00[Asia/Jakarta]","0.0","1.3"
"Get List Transaction Warehouse","As an admin I can get list transaction warehouse with a valid path","SUCCESS","2023-12-20T03:53:25.255149+07:00[Asia/Jakarta]","0.0","1.35"
"Get List Warehouse Type","As an admin I can get list warehouse type with a valid path","SUCCESS","2023-12-20T03:53:27.676221+07:00[Asia/Jakarta]","0.0","1.17"
"Get Reason","As an admin I can get reason with a valid path","SUCCESS","2023-12-20T03:53:29.972746+07:00[Asia/Jakarta]","0.0","1.19"
"Import CSV Data Warehouse","As an admin I can import CSV data warehouse with a valid path","SUCCESS","2023-12-20T03:53:32.369106+07:00[Asia/Jakarta]","0.0","2.39"
"Update Warehouse By ID","As an admin I can update warehouse by ID with a valid path","SUCCESS","2023-12-20T03:53:38.228812+07:00[Asia/Jakarta]","0.0","1.91"
"Upload Photo Warehouse","As an admin I can upload photo warehouse with a valid path","SUCCESS","2023-12-20T03:53:42.797724+07:00[Asia/Jakarta]","0.0","4.69"
"Update Setting","As an admin I can update setting with a valid path","SUCCESS","2023-12-20T03:57:33.186981+07:00[Asia/Jakarta]","0.0","1.89"
"Get History Transaction Data","As an admin I can get history transaction data with a valid path","SUCCESS","2023-12-20T03:57:41.184874+07:00[Asia/Jakarta]","0.0","1.92"
"Get Transaction Detail","As an admin I can get transaction detail with a valid path","SUCCESS","2023-12-20T03:57:44.270699+07:00[Asia/Jakarta]","0.0","1.99"
"Transaction Approved","As an admin I can transaction approved with a valid path","SUCCESS","2023-12-20T03:57:47.413586+07:00[Asia/Jakarta]","0.0","3.4"
"Transaction Rejected","As an admin I can transaction rejected with a valid path","SUCCESS","2023-12-20T03:57:55.20976+07:00[Asia/Jakarta]","0.0","2.38"
"Get Payment Schema","As a user I can get payment schema with a valid path","SUCCESS","2023-12-20T03:58:01.758764+07:00[Asia/Jakarta]","0.0","1.21"
