"Story","Title","Result","Date","Stability","Duration (s)"
"Get All District","As a user I can get all district data with a valid path","SUCCESS","2023-12-20T04:00:07.241935+07:00[Asia/Jakarta]","0.0","0.47"
"Get All District","As a user I can't get all district data with an invalid path","SUCCESS","2023-12-20T04:00:07.720751+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Province","As a user I can get all province data with a valid path","SUCCESS","2023-12-20T04:00:07.96031+07:00[Asia/Jakarta]","0.0","0.32"
"Get All Province","As a user I can't get all province data with an invalid path","SUCCESS","2023-12-20T04:00:08.285112+07:00[Asia/Jakarta]","0.0","0.17"
"Get All Regency","As a user I can get all regency data with a valid path","SUCCESS","2023-12-20T04:00:08.470805+07:00[Asia/Jakarta]","0.0","0.43"
"Get All Regency","As a user I can't get all regency data with an invalid path","SUCCESS","2023-12-20T04:00:08.912362+07:00[Asia/Jakarta]","0.0","0.22"
"Register Data User","As a user I can register data user with a valid input","SUCCESS","2023-12-20T04:00:09.142199+07:00[Asia/Jakarta]","0.0","0.82"
"Register Data User","As a user I can't register data user without path","SUCCESS","2023-12-20T04:00:09.975943+07:00[Asia/Jakarta]","0.0","0.2"
"Register Data User","As a user I can't register data user if I don't fill in the register data user request","SUCCESS","2023-12-20T04:00:10.188926+07:00[Asia/Jakarta]","0.0","0.2"
"Register Data User","As a user I can't register data user with an invalid email","SUCCESS","2023-12-20T04:00:10.396875+07:00[Asia/Jakarta]","0.0","0.31"
