"Story","Title","Result","Date","Stability","Duration (s)"
"Get Avatar","As a user I can get avatar data with a valid path","SUCCESS","2023-12-18T11:15:00.278173+07:00[Asia/Jakarta]","0.0","1.47"
"Get Avatar","As a user I can't get avatar data with an invalid path","SUCCESS","2023-12-18T11:15:01.763028+07:00[Asia/Jakarta]","0.0","1.26"
"Get Profile","As a user I can get profile with a valid path","SUCCESS","2023-12-18T11:15:03.043155+07:00[Asia/Jakarta]","0.0","2.13"
"Get Profile","As a user I can't get profile without path","SUCCESS","2023-12-18T11:15:05.183123+07:00[Asia/Jakarta]","0.0","1.13"
"Update Email","As a user I can't update email without path","SUCCESS","2023-12-18T11:15:06.346647+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I don't fill in the update email request","SUCCESS","2023-12-18T11:15:07.508544+07:00[Asia/Jakarta]","0.0","1.1"
"Update Email","As a user I can't update email if I fill in email already regist in database","SUCCESS","2023-12-18T11:15:08.62657+07:00[Asia/Jakarta]","0.0","1.38"
"Update Email","As a user I can't update email if the email request format is not appropriate (e.g.","SUCCESS","2023-12-18T11:15:10.018114+07:00[Asia/Jakarta]","0.0","1.18"
"Update Photo Profile","As a user I can update photo profile with a valid path","SUCCESS","2023-12-18T11:15:11.239578+07:00[Asia/Jakarta]","0.0","1.66"
"Update Photo Profile","As a user I can't update photo profile without path","SUCCESS","2023-12-18T11:15:12.90875+07:00[Asia/Jakarta]","0.0","1.08"
"Update Photo Profile","As a user I can't update photo profile if I don't fill in the update photo profile request","SUCCESS","2023-12-18T11:15:14.004999+07:00[Asia/Jakarta]","0.0","1.14"
"Update Username","As a user I can update username with a valid path","SUCCESS","2023-12-18T11:15:15.182009+07:00[Asia/Jakarta]","0.0","1.72"
"Update Username","As a user I can't update username without path","SUCCESS","2023-12-18T11:15:16.918818+07:00[Asia/Jakarta]","0.0","1.21"
"Update Username","As a user I can't update username if I don't fill in the update username request","SUCCESS","2023-12-18T11:15:18.171068+07:00[Asia/Jakarta]","0.0","1.3"
"Upload Photo","As a user I can upload photo with a valid path","SUCCESS","2023-12-18T11:15:19.486775+07:00[Asia/Jakarta]","0.0","3.89"
"Upload Photo","As a user I can't upload photo without path","SUCCESS","2023-12-18T11:15:23.397734+07:00[Asia/Jakarta]","0.0","1.27"
"Upload Photo","As a user I can't upload photo if I don't fill in the upload photo request","SUCCESS","2023-12-18T11:15:24.685682+07:00[Asia/Jakarta]","0.0","1.08"
"Upload Photo","As a user I can't upload photo if the photo request format is not appropriate (e.g. other than","SUCCESS","2023-12-18T11:15:25.776633+07:00[Asia/Jakarta]","0.0","1.3"
