"Story","Title","Result","Date","Stability","Duration (s)"
"Get Bank Virtual Account","As a user I can get bank virtual account with a valid path","SUCCESS","2023-12-20T03:58:51.503421+07:00[Asia/Jakarta]","0.0","1.56"
"Get Bank Virtual Account","As a user I can't get bank virtual account without path","SUCCESS","2023-12-20T03:58:53.077438+07:00[Asia/Jakarta]","0.0","1.05"
"Get Payment Method","As a user I can get payment method with a valid path","SUCCESS","2023-12-20T03:58:54.140644+07:00[Asia/Jakarta]","0.0","1.15"
"Get Payment Method","As a user I can't get payment method without path","SUCCESS","2023-12-20T03:58:55.297441+07:00[Asia/Jakarta]","0.0","1.06"
"Payment Checkout","As a user I can payment checkout with a valid path","SUCCESS","2023-12-20T03:58:56.387123+07:00[Asia/Jakarta]","0.0","5.42"
"Payment Checkout","As a user I can't payment checkout without path","SUCCESS","2023-12-20T03:59:01.824933+07:00[Asia/Jakarta]","0.0","1.21"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment checkout request","SUCCESS","2023-12-20T03:59:03.057201+07:00[Asia/Jakarta]","0.0","1.09"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment method ID request","SUCCESS","2023-12-20T03:59:04.168252+07:00[Asia/Jakarta]","0.0","1.15"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the installment ID request","SUCCESS","2023-12-20T03:59:05.336218+07:00[Asia/Jakarta]","0.0","1.02"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the data payment bank code request","SUCCESS","2023-12-20T03:59:06.371776+07:00[Asia/Jakarta]","0.0","1.23"
"Payment Checkout","As a user I can't payment checkout if the installment ID payment has previously been made","SUCCESS","2023-12-20T03:59:07.615506+07:00[Asia/Jakarta]","0.0","1.57"
