"Story","Title","Result","Date","Stability","Duration (s)"
"Delete User By ID","As an admin I can delete user by ID with a valid path","SUCCESS","2023-12-20T03:52:57.309672+07:00[Asia/Jakarta]","0.0","2.02"
"Delete User By ID","As an admin I can't delete user by ID without path","SUCCESS","2023-12-20T03:52:59.348376+07:00[Asia/Jakarta]","0.0","1.11"
"Delete User By ID","As an admin I can't delete user by ID with invalid ID","SUCCESS","2023-12-20T03:53:00.471868+07:00[Asia/Jakarta]","0.0","1.19"
"Get List Transaction User","As an admin I can get list transaction user with a valid path","SUCCESS","2023-12-20T03:53:01.692195+07:00[Asia/Jakarta]","0.0","2.07"
"Get List Transaction User","As an admin I can't get list transaction user without path","SUCCESS","2023-12-20T03:53:03.769817+07:00[Asia/Jakarta]","0.0","1.06"
"Get Transaction Detail User","As an admin I can get transaction detail user with a valid path","SUCCESS","2023-12-20T03:53:04.844463+07:00[Asia/Jakarta]","0.0","2.01"
"Get Transaction Detail User","As an admin I can't get transaction detail user without path","SUCCESS","2023-12-20T03:53:06.866576+07:00[Asia/Jakarta]","0.0","1.08"
"Get User By ID","As an admin I can get user by ID with a valid path","SUCCESS","2023-12-20T03:53:07.969526+07:00[Asia/Jakarta]","0.0","1.42"
"Get User By ID","As an admin I can't get user by ID without path","SUCCESS","2023-12-20T03:53:09.40062+07:00[Asia/Jakarta]","0.0","1.23"
"Get User By ID","As an admin I can't get user by ID with invalid ID","SUCCESS","2023-12-20T03:53:10.645735+07:00[Asia/Jakarta]","0.0","1.22"
"Get User List","As an admin I can get user list with a valid path","SUCCESS","2023-12-20T03:53:11.88239+07:00[Asia/Jakarta]","0.0","1.39"
"Get User List","As an admin I can't get user list without path","SUCCESS","2023-12-20T03:53:13.280114+07:00[Asia/Jakarta]","0.0","1.11"
