"Story","Title","Result","Date","Stability","Duration (s)"
"Get Payment Schema","As a user I can get payment schema with a valid path","SUCCESS","2023-12-20T03:58:01.758764+07:00[Asia/Jakarta]","0.0","1.21"
"Get Payment Schema","As a user I can't get payment schema without path","SUCCESS","2023-12-20T03:58:02.984002+07:00[Asia/Jakarta]","0.0","1.09"
"Rental Application","As a user I can rental application with a valid path","SUCCESS","2023-12-20T03:58:04.098661+07:00[Asia/Jakarta]","0.0","1.77"
"Rental Application","As a user I can't rental application without path","SUCCESS","2023-12-20T03:58:05.877086+07:00[Asia/Jakarta]","0.0","1.1"
"Rental Application","As a user I can't rental application if I don't fill in the rental application request","SUCCESS","2023-12-20T03:58:06.993388+07:00[Asia/Jakarta]","0.0","1.13"
"Rental Application","As a user I can't rental application if the submission date is less than the current date","SUCCESS","2023-12-20T03:58:08.138857+07:00[Asia/Jakarta]","0.0","1.29"
"Login User","As a user I can login with a valid credentials","SUCCESS","2023-12-20T03:58:09.468153+07:00[Asia/Jakarta]","0.0","1.13"
"Register User","As a new user I can register by filling a valid data","SUCCESS","2023-12-20T03:58:12.622528+07:00[Asia/Jakarta]","0.0","4.55"
"Resend OTP","As a user I can resend OTP with a valid email","SUCCESS","2023-12-20T03:58:19.148084+07:00[Asia/Jakarta]","0.0","3.07"
"Chatbot","As a user I can chatbot with a valid path","SUCCESS","2023-12-20T03:58:23.088287+07:00[Asia/Jakarta]","0.0","3.32"
"Chatbot","As a user I can't chatbot without path","SUCCESS","2023-12-20T03:58:26.418758+07:00[Asia/Jakarta]","0.0","1.15"
"Chatbot","As a user I can't use chatbot if I don't fill in the chatbot request","SUCCESS","2023-12-20T03:58:27.590811+07:00[Asia/Jakarta]","0.0","1.17"
"Get All Warehouse","As a user I can get all warehouse with a valid path","SUCCESS","2023-12-20T03:58:28.779772+07:00[Asia/Jakarta]","0.0","1.85"
"Get All Warehouse","As a user I can't get all warehouse without path","SUCCESS","2023-12-20T03:58:30.642328+07:00[Asia/Jakarta]","0.0","1.04"
"Get User Info","As a user I can get user profile data with a valid path","SUCCESS","2023-12-20T03:58:31.70513+07:00[Asia/Jakarta]","0.0","1.67"
"Get User Info","As a user I can't get user profile data with an invalid path","SUCCESS","2023-12-20T03:58:33.385603+07:00[Asia/Jakarta]","0.0","1.08"
"Get Warehouse By ID","As a user I can get warehouse by ID with a valid path","FAILURE","2023-12-20T03:58:34.488983+07:00[Asia/Jakarta]","0.0","2.11"
"Get Warehouse By ID","As a user I can't get warehouse data with an invalid ID (by entering the ID numbers, letters & symbols at the same time)","SUCCESS","2023-12-20T03:58:37.684923+07:00[Asia/Jakarta]","0.0","1.25"
"Get Warehouse By ID","As a user I can't get warehouse data with an invalid ID (by entering an ID number that does not yet exist in the database)","SUCCESS","2023-12-20T03:58:38.944823+07:00[Asia/Jakarta]","0.0","1.31"
"Create New Favorite","As a user I can create new favorite with a valid path","SUCCESS","2023-12-20T03:58:40.28324+07:00[Asia/Jakarta]","0.0","1.75"
"Create New Favorite","As a user I can't create new favorite without path","SUCCESS","2023-12-20T03:58:42.068397+07:00[Asia/Jakarta]","0.0","1.03"
"Create New Favorite","As a user I can't create new favorite if I don't fill in the create new favorite request","SUCCESS","2023-12-20T03:58:43.113421+07:00[Asia/Jakarta]","0.0","1.16"
"Delete Favorite By ID","As a user I can delete favorite by ID with a valid path","SUCCESS","2023-12-20T03:58:44.296679+07:00[Asia/Jakarta]","0.0","1.44"
"Delete Favorite By ID","As a user I can't delete favorite by ID without path","SUCCESS","2023-12-20T03:58:45.750812+07:00[Asia/Jakarta]","0.0","1.1"
"Delete Favorite By ID","As a user I can't delete favorite by ID with invalid ID","SUCCESS","2023-12-20T03:58:46.868864+07:00[Asia/Jakarta]","0.0","1.27"
"Get List Favorite","As a user I can get list favorite with a valid path","SUCCESS","2023-12-20T03:58:48.165523+07:00[Asia/Jakarta]","0.0","2.15"
"Get List Favorite","As a user I can't get list favorite without path","SUCCESS","2023-12-20T03:58:50.326261+07:00[Asia/Jakarta]","0.0","1.17"
"Get Bank Virtual Account","As a user I can get bank virtual account with a valid path","SUCCESS","2023-12-20T03:58:51.503421+07:00[Asia/Jakarta]","0.0","1.56"
"Get Bank Virtual Account","As a user I can't get bank virtual account without path","SUCCESS","2023-12-20T03:58:53.077438+07:00[Asia/Jakarta]","0.0","1.05"
"Get Payment Method","As a user I can get payment method with a valid path","SUCCESS","2023-12-20T03:58:54.140644+07:00[Asia/Jakarta]","0.0","1.15"
"Get Payment Method","As a user I can't get payment method without path","SUCCESS","2023-12-20T03:58:55.297441+07:00[Asia/Jakarta]","0.0","1.06"
"Payment Checkout","As a user I can payment checkout with a valid path","SUCCESS","2023-12-20T03:58:56.387123+07:00[Asia/Jakarta]","0.0","5.42"
"Payment Checkout","As a user I can't payment checkout without path","SUCCESS","2023-12-20T03:59:01.824933+07:00[Asia/Jakarta]","0.0","1.21"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment checkout request","SUCCESS","2023-12-20T03:59:03.057201+07:00[Asia/Jakarta]","0.0","1.09"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment method ID request","SUCCESS","2023-12-20T03:59:04.168252+07:00[Asia/Jakarta]","0.0","1.15"
