"Story","Title","Result","Date","Stability","Duration (s)"
"Login User","As a user I can login with a valid credentials","SUCCESS","2023-12-18T11:13:56.75273+07:00[Asia/Jakarta]","0.0","0.91"
"Login User","As a user I can't login without path","SUCCESS","2023-12-18T11:13:57.685261+07:00[Asia/Jakarta]","0.0","0.23"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-12-18T11:13:57.923035+07:00[Asia/Jakarta]","0.0","0.23"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-12-18T11:13:58.163031+07:00[Asia/Jakarta]","0.0","0.19"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-12-18T11:13:58.366391+07:00[Asia/Jakarta]","0.0","0.22"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-12-18T11:13:58.599132+07:00[Asia/Jakarta]","0.0","0.34"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-12-18T11:13:58.952818+07:00[Asia/Jakarta]","0.0","0.73"
"Register User","As a new user I can register by filling a valid data","SUCCESS","2023-12-18T11:13:59.701385+07:00[Asia/Jakarta]","0.0","4.73"
"Register User","As a new user I can't register without path","SUCCESS","2023-12-18T11:14:04.444406+07:00[Asia/Jakarta]","0.0","0.22"
"Register User","As a new user I can't register if I don't fill in the register request","SUCCESS","2023-12-18T11:14:04.679267+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if I don't fill in the username request","SUCCESS","2023-12-18T11:14:04.896591+07:00[Asia/Jakarta]","0.0","0.24"
"Register User","As a new user I can't register if I don't fill in the email request","SUCCESS","2023-12-18T11:14:05.14308+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if I don't fill in the password request","SUCCESS","2023-12-18T11:14:05.357765+07:00[Asia/Jakarta]","0.0","0.23"
"Register User","As a new user I can't register if I fill in email already regist in database","SUCCESS","2023-12-18T11:14:05.606075+07:00[Asia/Jakarta]","0.0","0.33"
"Register User","As a new user I can't register if the email request format is not appropriate (e.g.","SUCCESS","2023-12-18T11:14:05.949545+07:00[Asia/Jakarta]","0.0","0.18"
"Resend OTP","As a user I can resend OTP with a valid email","SUCCESS","2023-12-18T11:14:06.142055+07:00[Asia/Jakarta]","0.0","3.09"
"Resend OTP","As a user I can't resend OTP without path","SUCCESS","2023-12-18T11:14:09.245211+07:00[Asia/Jakarta]","0.0","0.26"
"Resend OTP","As a user I can't resend OTP if I don't fill in the resend OTP request","SUCCESS","2023-12-18T11:14:09.516753+07:00[Asia/Jakarta]","0.0","0.23"
"Resend OTP","As a user I can't resend OTP with an invalid email","SUCCESS","2023-12-18T11:14:09.755731+07:00[Asia/Jakarta]","0.0","0.32"
